映画名,ジャンル,評価,年代,監督名,俳優名
リトル・ミス・サンシャイン,ドラマ,4.0,2006,ヴァレリー・ファリス,"アビゲイル・ブレスリン, ポール・ダノ"
レナードの朝,ドラマ,4.2,1990,ペニー・マーシャル,"ロビン・ウィリアムズ, ロバート・デニーロ"
ナイトクローラー,スリラー,4.2,2014,ダン・ギルロイ,"ジェイク・ギレンホール, レネ・ルッソ"
ファイトクラブ,クライム,4.3,1999,デヴィッド・フィンチャー,"エドワード・ノートン, ブラッド・ピット"
イミテーションゲーム,史実,4.4,2014,モルテン・ティルドゥム,"カンバーバッチ, キーラ・ナイトレイ"
500日のサマー,ロマンス,4.2,2009,マーク・ウェブ,"ジェセフ・ゴードン, ズーイー・デシャネル"
ビューティフルマインド,史実,4.5,2001,ロン・ハワード,"ラッセル・クロウ, ジェニファー・コネリー"
プライベートライアン,戦争,4.5,1998,スティーブン・スピルバーグ,"トム・ハンクス, マッド・デイモン"
セブン,クライム,4.7,1995,デヴィッド・フィンチャー,"ブラッド・ピット, モーガン・フリーマン"
セッション,ドラマ,4.2,2014,デイミアン・チャゼル,"マイルズ・テラー, J・K・シモンズ"
荒野の七人,西部劇,4.0,1960,ジョン・スタージェス,"ユル・ブリンナー, スティーブン・マックイーン"
ダークナイト,アクション,4.3,2008,クリストファー・ノーラン,"クリスチャン・ベール, ヒース・レジャー"
ロックストック&2SB,クライム,4.4,1998,ガイ・リッチー,"ジェイソン・ステイサム, ジェイソン・フレミング"
時計じかけのオレンジ,クライム,4.3,1971,スタンリー・キューブリック,"マルコム・マクダウェル, エイドリアン・コリ"
スティング,クライム,4.3,1973,ジョージ・ロイ・ヒル,"ロバート・レッドフォード, ポール・ニューマン"
ショーシャンクの空に,クライム,4.7,1994,フランク・ダラボン,"モーガン・フリーマン, ティム・ロビンス"
バタフライエフェクト,SF,4.6,2004,エリック・ブレス,"アシュトン・カッチャー, エイミー・スマート"
フルメタルジャケット,戦争,4.6,1987,スタンリー・キューブリック,"マシュー・モディーン, R・リー・アーメイ"
羊たちの沈黙,クライム,4.6,1991,ジョナサン・デミ,"アンソニー・ホプキンス, ジョディ・フォスター"
ゴットファザー1,クライム,4.8,1972,フランシス・フォード・コッポラ,"アルパチーノ, マーロン・ブランド"
ゴットファザー2,クライム,4.8,1974,フランシス・フォード・コッポラ,"アルパチーノ, ロバート・デニーロ"
ゴットファザー3,クライム,4.6,1990,フランシス・フォード・コッポラ,"アルパチーノ, アンディ・ガルシア"
スタンドバイミー,スリラー,4.3,1986,ロブ・ライナー,"リヴァー・フェニックス, ウィル・ウィトン"
グラントリノ,スリラー,4.2,2008,クリント・イーストウッド,"クリント・イーストウッド, スコット・イーストウッド"
キングスマン,コメディ,4.4,2014,マシュー・ヴォーン,"コリン・ファース, タロン・エジャトン"
オンザハイウェイ,ドラマ,4.3,2013,スティーブン・ナント,"トム・ハーディ, トム・ホランド"
グットウィルハンティング,ドラマ,4.7,1997,ガス・ヴァン・サント,"マッドデイモン, ベン・アフレック"
明日に向って撃て！,西部劇,4.1,1969,ジョージ・ロイヒル,"ロバート・レッドフォード, ポール・ニューマン"
レインマン,ドラマ,4.2,1988,バリー・レヴィンソン,"ダスティン・ホフマン, トム・クルーズ"
ニュー・シネマ・パラダイス,ドラマ,4.2,1988,ジュゼッペ・トルナトーレ,"サルヴァトーレ・カシオ, フィリップ・ノワレ"
カッコーの巣の上で,ドラマ,4.4,1975,ミロス・フォアマン,"ジャック・ニコルソン, ルイーズ・フレッチャー"
シンドラーのリスト,史実,4.5,1993,スティーブン・スピルバーグ,"リーアム・ニーソン, レイフ・ファインズ"
ライフ・イズ・ビューティフル,ドラマ,4.4,1997,ロベルト・ベニーニ,"ロベルト・ベニーニ, ニコレッタ・ブラスキ"
アンタッチャブル,クライム,4.2,1987,ブライアン・デパルマ,"ケビン・コスナー, ショーン・コネリー"
メメント,クライム,5.0,2000,クリストファー・ノーラン,"ガイ・ピアース, キャリーアン・モス"
スナッチ,コメディ,4.3,2000,ガイ・リッチー,"ブラット・ピット, ジェイソン・ステイサム"
イエスマン,ロマンス,4.3,2008,ペイトン・リード,"ズーイー・デシャネル, ジム・キャリー"
特攻野郎Aチーム,アクション,4.2,2010,ジョー・カーナハン,"リーアム・ニーソン, ドワイト・シュルツ"
インセプション,SF,4.6,2010,クリストファー・ノーラン,"レオナルド・ディカプリオ, キリアン・マーフィー"
スモーキング・ハイ,コメディ,4.4,2008,デヴィッド・ゴードン・グリーン,"セス・ローゲン, ジェームズ・フランコ"
ウルフ・オブ・ウォールストリート,コメディ,4.5,2013,マーティン・スコセッシ,"レオナルド・ディカプリオ, ジョーダン・ベルフォート"
フライングハイ,コメディ,4.3,1980,デヴィット・ザッカー,"レスリー・ニールセン, ジュリー・ハガディ"
レオン,クライム,4.5,1994,リュック・ベッソン,"ジャン・レノ, ナタリー・ポートマン"
ストレイト・アウタ・コンプトン,クライム,4.1,2015,F・ゲイリー・グレイ,"ジェイソン・ミッチェル"
ヒトラー最期の12日間,戦争,4.5,2004,オリヴァー・ヒルシュビーゲル,"ブルーノ・ガンツ, アレクサンドラ・マリア・ララ"
レザボア・ドッグス,クライム,4.7,1992,クエンティン・タランティーノ,"ハーヴェイ・カイテル, マイケル・マドセン"
タクシードライバー,クライム,4.4,1976,マーティン・スコセッシ,"ロバート・デニーロ, ジョディ・フォスター"
ディクテーター,コメディ,4.2,2012,ラリー・チャールズ,"サシャ・バロン・コーエン, ミーガン・フォックス"
キャッチミーイフユーキャン,コメディ,4.5,2002,スティーブン・スピルバーグ,"レオナルド・ディカプリオ, トム・ハンクス"
フォックスキャッチャー,スリラー,4.1,2014,ベネット・ミラー,"スティーブン・カレル, チャニング・テイタム"
ディパーテッド,クライム,4.6,2006,マーティン・スコセッシ,"マッド・デイモン, ジャック・ニコルソン"
ダラス・バイヤーズクラブ,ドラマ,4.1,2013,ジャンマルク・ヴァレ,"マシュー・マコノヒー, ジャレッド・レト"
フォレストガンプ,ドラマ,4.5,1994,ロバート・ゼメキス,"トム・ハンクス, ロビン・ライト"
スカーフェイス,クライム,4.3,1983,ブライアン・デパルマ,"アルパチーノ, ミシェル・ファイファー"
フィラデルフィア,ドラマ,4.3,1993,ジョナサン・デミ,"トム・ハンクス, デンゼル・ワシントン"
スコア,スリラー,4.0,2001,フランク・オズ,"ロバート・デニーロ, エドワード・ノートン"
戦場にかける橋,戦争,4.0,1957,デヴィッド・リーン,"アレック・ギネス, ウィリアム・ホールデン"
エージェントウルトラ,コメディ,4.1,2015,ニマ・ヌリデザ,"ジェシー・アイゼンバーグ, クリステン・スチュワート"
グリーンマイル,ファンタジー,4.2,1999,フランク・ダラボン,"マイケル・クラーク・ダンカン, トム・ハンクス"
ハンニバル,クライム,4.5,2001,リドリー・スコット,"アンソニー・ホプキンス, ジュリアン・ムーア"
レッドドラゴン,クライム,4.5,2002,ブレット・ラトナー,"エドワード・ノートン, アンソニー・ホプキンス"
ハンニバル・ライジング,クライム,4.5,2007,ピーター・ウェーバー,"ギャスパー・ウリエル, コン・リー"
ハート・ロッカー,戦争,4.4,2008,キャスリン・ビグロー,"ジェレミー・レナー, アンソニー・マッキー"
ハクソー・リッジ,戦争,4.4,2016,メル・ギブソン,"アンドリュー・ガーフィールド, ルーク・ブレイシー"
インターステラー,SF,4.7,2014,クリストファー・ノーラン,"マシュー・マコノヒー, ジェシカ・チャステイン, アン・ハサウェイ"
鑑定士と顔のない依頼人,スリラー,4.6,2013,ジュゼッペ・トルナトーレ,"ジェフリー・ラッシュ, シルヴィア・フークス"
リリーのすべて,ロマンス,4.1,2015,トム・フーパー,"エディ・レッドメイン, アリシア・ヴィキャンデル"
不屈の男,戦争,4.2,2014,アンジェリーナ・ジョリー,"ジャック・オコンネル, MIYAVI"
キラー・エリート,アクション,4.3,2011,ゲイリー・マッケンドリー,"ジェイソン・ステイサム, ロバート・デニーロ"
ザ・レイジ果てしなき怒り,アクション,3.8,2016,キケ・マイーリュ,"マリオ・カサス, ルイス・トサル"

