映画名,ジャンル,評価,年代,監督名,俳優名
リトル・ミス・サンシャイン,ドラマ,4.0,2006,ヴァレリー・ファリス,"アビゲイル・ブレスリン, ポール・ダノ"
レナードの朝,ドラマ,4.2,1990,ペニー・マーシャル,"ロビン・ウィリアムズ, ロバート・デニーロ"
ナイトクローラー,スリラー,4.2,2014,ダン・ギルロイ,"ジェイク・ギレンホール, レネ・ルッソ"
ファイトクラブ,クライム,4.3,1999,デヴィッド・フィンチャー,"エドワード・ノートン, ブラッド・ピット"
イミテーションゲーム,史実,4.4,2014,モルテン・ティルドゥム,"カンバーバッチ, キーラ・ナイトレイ"
500日のサマー,ロマンス,4.2,2009,マーク・ウェブ,"ジェセフ・ゴードン, ズーイー・デシャネル"
ビューティフルマインド,史実,4.5,2001,ロン・ハワード,"ラッセル・クロウ, ジェニファー・コネリー"
プライベートライアン,戦争,4.5,1998,スティーブン・スピルバーグ,"トム・ハンクス, マッド・デイモン"
セブン,クライム,4.7,1995,デヴィッド・フィンチャー,"ブラッド・ピット, モーガン・フリーマン"
セッション,ドラマ,4.2,2014,デイミアン・チャゼル,"マイルズ・テラー, J・K・シモンズ"
荒野の七人,西部劇,4.0,1960,ジョン・スタージェス,"ユル・ブリンナー, スティーブン・マックイーン"
ダークナイト,アクション,4.3,2008,クリストファー・ノーラン,"クリスチャン・ベール, ヒース・レジャー"
ロックストック&2SB,クライム,4.4,1998,ガイ・リッチー,"ジェイソン・ステイサム, ジェイソン・フレミング"
時計じかけのオレンジ,クライム,4.3,1971,スタンリー・キューブリック,"マルコム・マクダウェル, エイドリアン・コリ"
スティング,クライム,4.3,1973,ジョージ・ロイ・ヒル,"ロバート・レッドフォード, ポール・ニューマン"
ショーシャンクの空に,クライム,4.7,1994,フランク・ダラボン,"モーガン・フリーマン, ティム・ロビンス"
バタフライエフェクト,SF,4.6,2004,エリック・ブレス,"アシュトン・カッチャー, エイミー・スマート"
フルメタルジャケット,戦争,4.6,1987,スタンリー・キューブリック,"マシュー・モディーン, R・リー・アーメイ"
羊たちの沈黙,クライム,4.6,1991,ジョナサン・デミ,"アンソニー・ホプキンス, ジョディ・フォスター"
ハンニバル,クライム,4.5,2001,リドリー・スコット,"アンソニー・ホプキンス, ジュリアン・ムーア"
レッドドラゴン,クライム,4.5,2002,ブレット・ラトナー,"エドワード・ノートン, アンソニー・ホプキンス"
ハンニバル・ライジング,クライム,4.5,2007,ピーター・ウェーバー,"ギャスパー・ウリエル, コン・リー"
ゴットファザー1,クライム,4.8,1972,フランシス・フォード・コッポラ,"アルパチーノ, マーロン・ブランド"
ゴットファザー2,クライム,4.8,1974,フランシス・フォード・コッポラ,"アルパチーノ, ロバート・デニーロ"
ゴットファザー3,クライム,4.6,1990,フランシス・フォード・コッポラ,"アルパチーノ, アンディ・ガルシア"
スタンドバイミー,スリラー,4.3,1986,ロブ・ライナー,"リヴァー・フェニックス, ウィル・ウィトン"
グラントリノ,スリラー,4.2,2008,クリント・イーストウッド,"クリント・イーストウッド, スコット・イーストウッド"
キングスマン,アクション,4.4,2014,マシュー・ヴォーン,"コリン・ファース, タロン・エジャトン"
キングスマン/ゴールデンサークル,アクション,4.4,2017,マシュー・ヴォーン,"コリン・ファース, タロン・エジェトン"
オンザハイウェイ,ドラマ,4.3,2013,スティーブン・ナント,"トム・ハーディ, トム・ホランド"
グットウィルハンティング,ドラマ,4.7,1997,ガス・ヴァン・サント,"マッドデイモン, ベン・アフレック"
明日に向って撃て！,西部劇,4.1,1969,ジョージ・ロイヒル,"ロバート・レッドフォード, ポール・ニューマン"
レインマン,ドラマ,4.2,1988,バリー・レヴィンソン,"ダスティン・ホフマン, トム・クルーズ"
ニュー・シネマ・パラダイス,ドラマ,4.2,1988,ジュゼッペ・トルナトーレ,"サルヴァトーレ・カシオ, フィリップ・ノワレ"
カッコーの巣の上で,ドラマ,4.4,1975,ミロス・フォアマン,"ジャック・ニコルソン, ルイーズ・フレッチャー"
シンドラーのリスト,史実,4.5,1993,スティーブン・スピルバーグ,"リーアム・ニーソン, レイフ・ファインズ"
ライフ・イズ・ビューティフル,ドラマ,4.4,1997,ロベルト・ベニーニ,"ロベルト・ベニーニ, ニコレッタ・ブラスキ"
アンタッチャブル,クライム,4.2,1987,ブライアン・デパルマ,"ケビン・コスナー, ショーン・コネリー"
メメント,クライム,5.0,2000,クリストファー・ノーラン,"ガイ・ピアース, キャリーアン・モス"
スナッチ,コメディ,4.3,2000,ガイ・リッチー,"ブラット・ピット, ジェイソン・ステイサム"
イエスマン,ロマンス,4.3,2008,ペイトン・リード,"ズーイー・デシャネル, ジム・キャリー"
特攻野郎Aチーム,アクション,4.2,2010,ジョー・カーナハン,"リーアム・ニーソン, ドワイト・シュルツ"
インセプション,SF,4.6,2010,クリストファー・ノーラン,"レオナルド・ディカプリオ, キリアン・マーフィー"
スモーキング・ハイ,コメディ,4.4,2008,デヴィッド・ゴードン・グリーン,"セス・ローゲン, ジェームズ・フランコ"
ウルフ・オブ・ウォールストリート,コメディ,4.5,2013,マーティン・スコセッシ,"レオナルド・ディカプリオ, ジョーダン・ベルフォート"
フライングハイ,コメディ,4.3,1980,デヴィット・ザッカー,"レスリー・ニールセン, ジュリー・ハガディ"
レオン,クライム,4.5,1994,リュック・ベッソン,"ジャン・レノ, ナタリー・ポートマン"
ストレイト・アウタ・コンプトン,クライム,4.1,2015,F・ゲイリー・グレイ,"ジェイソン・ミッチェル"
ヒトラー最期の12日間,戦争,4.5,2004,オリヴァー・ヒルシュビーゲル,"ブルーノ・ガンツ, アレクサンドラ・マリア・ララ"
レザボア・ドッグス,クライム,4.7,1992,クエンティン・タランティーノ,"ハーヴェイ・カイテル, マイケル・マドセン"
タクシードライバー,クライム,4.4,1976,マーティン・スコセッシ,"ロバート・デニーロ, ジョディ・フォスター"
ディクテーター,コメディ,4.2,2012,ラリー・チャールズ,"サシャ・バロン・コーエン, ミーガン・フォックス"
キャッチミーイフユーキャン,コメディ,4.5,2002,スティーブン・スピルバーグ,"レオナルド・ディカプリオ, トム・ハンクス"
フォックスキャッチャー,スリラー,4.1,2014,ベネット・ミラー,"スティーブン・カレル, チャニング・テイタム"
ディパーテッド,クライム,4.6,2006,マーティン・スコセッシ,"マッド・デイモン, ジャック・ニコルソン"
ダラス・バイヤーズクラブ,ドラマ,4.1,2013,ジャンマルク・ヴァレ,"マシュー・マコノヒー, ジャレッド・レト"
フォレストガンプ,ドラマ,4.5,1994,ロバート・ゼメキス,"トム・ハンクス, ロビン・ライト"
スカーフェイス,クライム,4.3,1983,ブライアン・デパルマ,"アルパチーノ, ミシェル・ファイファー"
フィラデルフィア,ドラマ,4.3,1993,ジョナサン・デミ,"トム・ハンクス, デンゼル・ワシントン"
スコア,スリラー,4.0,2001,フランク・オズ,"ロバート・デニーロ, エドワード・ノートン"
戦場にかける橋,戦争,4.0,1957,デヴィッド・リーン,"アレック・ギネス, ウィリアム・ホールデン"
エージェントウルトラ,コメディ,4.1,2015,ニマ・ヌリデザ,"ジェシー・アイゼンバーグ, クリステン・スチュワート"
グリーンマイル,ファンタジー,4.2,1999,フランク・ダラボン,"マイケル・クラーク・ダンカン, トム・ハンクス"
ハート・ロッカー,戦争,4.4,2008,キャスリン・ビグロー,"ジェレミー・レナー, アンソニー・マッキー"
ハクソー・リッジ,戦争,4.4,2016,メル・ギブソン,"アンドリュー・ガーフィールド, ルーク・ブレイシー"
インターステラー,SF,4.7,2014,クリストファー・ノーラン,"マシュー・マコノヒー, ジェシカ・チャステイン, アン・ハサウェイ"
鑑定士と顔のない依頼人,スリラー,4.6,2013,ジュゼッペ・トルナトーレ,"ジェフリー・ラッシュ, シルヴィア・フークス"
リリーのすべて,ロマンス,4.1,2015,トム・フーパー,"エディ・レッドメイン, アリシア・ヴィキャンデル"
不屈の男,戦争,4.2,2014,アンジェリーナ・ジョリー,"ジャック・オコンネル, MIYAVI"
キラー・エリート,アクション,4.3,2011,ゲイリー・マッケンドリー,"ジェイソン・ステイサム, ロバート・デニーロ"
ザ・レイジ果てしなき怒り,アクション,3.8,2016,キケ・マイーリュ,"マリオ・カサス, ルイス・トサル"
13デイズ,史実,4.4,2000,ロジャー・ドナルドソン,"ケビン・コスナー, ブルース・クリーンウッド"
パッセンジャー,SF,4.3,2016,モルテン・ティルドゥム,"ジェニファー・ローレンス, クリス・プラット"
スティーブ・ジョブズ,ドラマ,4.3,2015,ダニー・ボイル,"マイケル・ファスベンダー, ケイト・ウィンスレット"
パラダイス女子刑務所,スリラー,3.9,2017,ジャレッド・コーン,"ジャレッド・コーン, ケリー・アン・マッカート"
ボーン・アイデンティー,アクション,4.6,2002,ダグ・リーマン,"マッド・デイモン, フランカ・ポテンテ"
ボーン・スプレマシー,アクション,4.6,2004,ポール・グリーングラス,"マッド・デイモン, フランカ・ポテンテ"
ボーン・アルティメイタム,アクション,4.6,2007,ポール・グリーングラス,"マッド・デイモン, ジュリア・スタイルズ"
ジェイソン・ボーン,アクション,4.6,2016,ポール・グリーングラス,"マッド・デイモン, ジュリア・スタイルズ"
ボーン・レガシー,アクション,4.6,2012,トニー・ギルロイ,"ジェレミー・レナー, エドワード・ノートン"
サロゲート,SF,4.0,2009,ジョナサン・モストウ,"ブルース・ウィルス, ロザムンド・パイク"
アイヒマンの後継者,史実,4.1,2015,マイケル・アルメレイダ,"ピーター・サースガード, ウィノナ・ライダー"
ハドソン川の奇跡,史実,4.3,2016,クリント・イーストウッド,"トム・ハンクス, アーロン・エッカート"
ヒトラーの忘れ物,戦争,4.4,2015,マーチン・ピータ・サンフリト,"ローランド・ムーラー, ルイス・ホフマン"
パトリオット・ウォー,戦争,4.0,2016,アンドレイ・シャロバ,"アンドレイ・シャロバ, キム・ドラジニン"
ヒトラーへの285枚の葉書,戦争,4.0,2016,ヴァンサン・ペレーズ,"ダニエル・ブリュール, ブレンダン・グリーソン"
雨の日は会えない、晴れた日は君を想う,ドラマ,4.0,2015,ジャンマルク・ヴァレ,"ジェイク・ギレンホール, ナオミ・ワッツ"
ダンケルク,戦争,4.4,2017,クリストファー・ノーラン,"ハリー・スタイルズ, キリアン・マーフィー"
パトリオット・デイ,史実,4.2,2016,ピーター・バーグ,"マーク・ウォールバーグ, ケヴィン・ベーコン"
夜に生きる,クライム,3.8,2016,ベン・アフレック,"ベン・アフレック, エル・ファニング"
仮面の男,ファンタジー,3.8,1998,ランダル・ウォレス,"レオナルド・ディカプリオ, ジョン・マルコヴィッチ"
ウォークラフト,ファンタジー,3.5,2016,ダンカン・ジョーンズ,"トラヴィス・フィメル, ポーラ・パットン"
ゴッド・セイブ・アス,スリラー,4.1,2016,ロドリゴ・ソロゴジェン,"アントニオ・デラ・トレ, ロベルト・アラモ"
幸せの1ページ,ドラマ,4.0,2008,ジェニファー・フラケット,"アビゲイル・ブレスリン, ジョディ・フォスター"
ドクター・ストレンジ,アクション,4.3,2016,スコット・デリクソン,"カンバーバッチ, レイチェル・マクアダムス"
夜明けの祈り,史実,4.1,2016,アンヌ・フォンテーヌ,"ルー・ドゥ・ラージュ, アガタ・クレシャ"
フレンチ・ラン,アクション,4.1,2016,ジェームズ・ワトキンス,"イドリス・エルバ, リチャード・マッデン"
イングロリアス・バスターズ,戦争,4.6,2009,クエンティン・タランティーノ,"ブラッド・ピット, クリストフ・ヴァルツ"
奇跡のシンフォニー,ロマンス,4.4,2007,カーステン・シェリダン,"フレディ・ハイモア, ジョナサン・リースマイヤーズ"
ジョンウィック,アクション,4.5,2014,チャド・スタエルスキ,"キアヌ・リーブス, イアン・マクシェーン"
ストリート・オブ・ファイヤー,アクション,3.9,1984,ウォーター・ヒル,"ダイアン・レイン, ウィレム・デフォー"
イン・ユア・アイズ,ロマンス,3.9,2014,ブリン・ヒル,"ゾーイ・カザン, マイケル・スタールデヴィッド"
スタートレック,SF,4.1,2009,J・J・エイブラムス,"クリス・パイン, サイモン・ペッグ"
セブン・シスターズ,SF,4.2,2017,トミー・ウィルコラ,"ノオミ・ラパス, ウィレム・デフォー"
緑はよみがえる,戦争,4.0,2014,エルマンノ・オルミ,"カミッロ・グラッシ, アンドレア・ディ・マリア"
オデッセイ,SF,4.6,2015,リドリー・スコット,"マッド・デイモン, ジェシカ・チャステイン"
怪物はささやく,ファンタジー,3.8,2016,フアン・アントニオ・バヨナ,"リーアム・ニーソン, フェリシティ・ジョーンズ"
汚れたミルク,スリラー,3.9,2014,ダニス・タノヴィッチ,"イムラン・ハシュミ, ジーダンジャリ・タパ"
光をクレた人,ロマンス,4.0,2016,デレク・シアンフランス,"マイケル・ファスベンダー, アリシア・ヴィキャンデル"
ムーンライト,ドラマ,4.0,2016,バリー・ジェンキンス,"マハーシャラ・アリ, アシュトン・サンダース"
杉原千畝,史実,4.1,2015,チェリン・グラック,"唐沢寿明, 小雪"
戦場のピアニスト,戦争,4.4,2002,ロマン・ポランスキー,"エイドリアン・ブロディ, トーマス・クレッチマン"
ビルマの竪琴,戦争,4.0,1985,市川崑,"中井貴一, 石坂浩二"
メンフィス・ベル,戦争,4.0,1990,マイケル・ケイトンジョーンズ,"マシュー・モディーン, ショーン・アスティン"
007/ゴールドフィンガー,アクション,4.0,1964,ガイ・ハミルトン,"ショーン・コネリー, シャーリー・イートン"
007/ムーンレイカー,アクション,4.0,1979,ルイス・ギルバート,"ロジャー・ムーア, ロイス・チャイルズ"
007/ユア・アイズ・オンリー,アクション,4.0,1981,ジョン・グレン,"ロジャー・ムーア, キャロル・ブーケ"
007/ゴールデンアイ,アクション,4.0,1995,マーティン・キャンベル,"ピアース・ブロスナン, ファムケ・ヤンセン"
